country,year,total_cases,total_deaths
Malawi,2021,15880339,549963
Malawi,2022,31485478,961489
Malawi,2023,32400391,980369
Malawi,2024,19349456,582862
Malaysia,2020,5871700,47461
Malaysia,2021,428056900,4194943
Malaysia,2022,1582424823,12849398
Malaysia,2023,1860506594,13536702
Malaysia,2024,1145730571,8103888
Maldives,2020,1737447,6141
Maldives,2021,21287506,59006
Maldives,2022,63365008,109391
Maldives,2023,68030603,114696
Maldives,2024,40512598,68572
Mali,2020,709322,30209
Mali,2021,4875021,176975
Mali,2022,11322596,266590
Mali,2023,12077357,271195
Mali,2024,7196660,161231
Malta,2020,919320,11481
Malta,2021,11435137,152589
Malta,2022,35472490,269216
Malta,2023,43464840,315926
Malta,2024,26377578,196528
Marshall Islands,2020,181,0
Marshall Islands,2021,1460,0
Marshall Islands,2022,2012070,2268
Marshall Islands,2023,5833992,6205
Marshall Islands,2024,3512808,3689
Martinique,2020,437711,5621
Martinique,2021,8168449,101740
Martinique,2022,63748108,351265
Martinique,2023,83890651,401322
Martinique,2024,49986818,239568
Mauritania,2020,1462743,71881
Mauritania,2021,9353692,211758
Mauritania,2022,21932666,357477
Mauritania,2023,23230091,363905
Mauritania,2024,13854961,216349
Mauritius,2020,103344,2689
Mauritius,2021,6346267,37688
Mauritius,2022,81123371,356306
Mauritius,2023,111436386,383302
Mauritius,2024,71046670,232350
Mayotte,2020,822880,9139
Mayotte,2021,6624790,56343
Mayotte,2022,13846120,68225
Mayotte,2023,15337370,68255
Mayotte,2024,9119859,40579
Mexico,2020,157312091,18353080
Mexico,2021,1039445357,89674958
Mexico,2022,2291152257,118859546
Mexico,2023,2758790710,121827918
Mexico,2024,1652243260,72558603
Micronesia (country),2020,0,0
Micronesia (country),2021,0,0
Micronesia (country),2022,2439920,6440
Micronesia (country),2023,9414702,23249
Micronesia (country),2024,5908976,14105
Moldova,2020,11772036,287702
Moldova,2021,94391151,2373846
Moldova,2022,193628739,4195533
Moldova,2023,225709992,4413830
Moldova,2024,137804154,2652511
Monaco,2020,49992,400
Monaco,2021,923856,10860
Monaco,2022,4701129,21010
Monaco,2023,6148509,24385
Monaco,2024,3728277,14539
Mongolia,2020,87925,12
Mongolia,2021,77728848,248215
Mongolia,2022,339230277,769146
Mongolia,2023,368547902,779640
Mongolia,2024,219481487,463512
Montenegro,2020,1972558,31555
Montenegro,2021,37582252,535948
Montenegro,2022,79449999,927739
Montenegro,2023,91253282,965805
Montenegro,2024,54527760,575918
Montserrat,2020,3306,250
Montserrat,2021,9452,365
Montserrat,2022,300716,1975
